127.0.0.1 - - [28/Jan/2023:20:06:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43771
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/main2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/main.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/main3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/cat-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/offer-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/offer-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/product-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/vendor-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/qr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/foot_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/vendor-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/payments.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:06:34 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/favicon.ico HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:07:06 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43771
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:07:06 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/favicon.ico HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:09:00 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43771
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:09:02 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43771
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:09:03 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43771
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:09:04 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43771
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:12:23 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:12:23 +0900] "GET /springweb/project_5/eshopper-1.0.0/img/favicon.ico HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:12:51 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:12:52 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:12:53 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:12:54 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:12:55 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:12:56 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:12:57 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:13:02 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [28/Jan/2023:20:13:04 +0900] "GET /springweb/project_5/eshopper-1.0.0/oyMain.jsp HTTP/1.1" 200 43696
